code,name,status,index_name,updated,methodology_family,review_frequency,review_months,rebalance_timing,selection_count,weighting_scheme,weight_cap,has_free_float_adjustment,has_market_cap_screen,has_liquidity_screen,has_keyword_filter,has_fics_filter,pdf_page_count,pdf_text_chars,source_url,file_path,error
0189Z0,DAISHIN343 금융&지주고배당,downloaded,FnGuide K High Dividend Index,August 2025,dividend,semiannual,"6,12",선물옵션 만기일(D) 이후 4영업일(D+4)과 5영업일(D+5)에 정기변경을 수행합니다,40,custom_weighted,,True,True,True,False,True,10,11603,https://file.fnguide.com/fnindex/files/FnGuide_K_High_Dividend_Index_Methodology_Book_(20250821)_v1.2.pdf,etfs\raw\methodologies\0189Z0_99b6b7ae10f9.pdf,
0174J0,DAISHIN343 오피스리츠플러스,downloaded,FnGuide AI Semiconductor TOP2 Plus Index,January 2026,keyword_theme,quarterly,"1,4,7,10",2영업일째(D+2)에 정기변경을 수행합니다,2,float_market_cap_weighted,15%,True,True,True,True,True,20,26811,https://file.fnguide.com/fnindex/files/FnGuide AI Semiconductor TOP2 Plus Index_Methodology_Book_(20260102)_v1.2.pdf,etfs\raw\methodologies\0174J0_57c7d80a085d.pdf,
395290,HANARO Fn K-POP&미디어,downloaded,FnGuide K-POP & Media Index,February 2021,keyword_theme,semiannual,"6,12",선물옵션 만기일(D) 이후 4영업일(D+4)과 5영업일(D+5)에 정기변경을 수행합니다,20,float_market_cap_weighted,,True,True,True,False,True,17,21886,https://file.fnguide.com/fnindex/files/FnGuide_K-POP_&_Media_Index_Methodology_Book_NHA_(20210225)_v1.0.pdf,etfs\raw\methodologies\395290_48ffa5d26b80.pdf,
395280,HANARO Fn K-게임,downloaded,FnGuide K-Game Index,February 2021,keyword_theme,semiannual,"6,12",선물옵션 만기일(D) 이후 4영업일(D+4)과 5영업일(D+5)에 정기변경을 수행합니다,20,float_market_cap_weighted,,True,True,True,False,True,16,21209,https://file.fnguide.com/fnindex/files/FnGuide_K-Game_Index_Methodology_Book_NHA_(20210225)_v1.0.pdf,etfs\raw\methodologies\395280_61f80a798567.pdf,
395270,HANARO Fn K-반도체,downloaded,FnGuide AI Semiconductor TOP3 Plus Price Return Index,September 2023,keyword_theme,quarterly,"3,6,9,12",선물옵션 만기일(D) 이후 2영업일째(D+2)에 정기 개편을 수행합니다,3,equal_weighted,,True,True,True,False,True,17,23213,https://file.fnguide.com/fnindex/files/FnGuide_AI_Semiconductor_TOP3_Plus_Price_Return_Index_Methodology_Book_(20230920)_v1.5.pdf,etfs\raw\methodologies\395270_466c302826ee.pdf,
441540,HANARO Fn조선해운,downloaded,FnGuide Shipbuilding & Shipping Industry Index,July 2022,sector_theme,quarterly,"5,6,11,12",선물옵션 만기일(D) 이후 4영업일(D+4)과 5영업일(D+5)에 정기변경을 수행합니다,15,float_market_cap_weighted,,True,True,True,False,True,14,19495,https://file.fnguide.com/fnindex/files/FnGuide_Shipbuilding_&_Shipping_Sector_Index_Methodology_Book_NHAmundi_(20220727)_v1.2.pdf,etfs\raw\methodologies\441540_15a11657b61c.pdf,
381570,HANARO Fn친환경에너지,downloaded,FnGuide Green Energy Index,January 2021,keyword_theme,semiannual,"6,12",선물옵션 만기일(D) 이후 4영업일(D+4)과 5영업일(D+5)에 정기변경을 수행합니다,20,float_market_cap_weighted,,True,True,True,True,False,10,11661,https://file.fnguide.com/fnindex/files/FnGuide_Green Energy_Index_Methodology_Book_NH_(20210102)_v1.0.pdf,etfs\raw\methodologies\381570_0ec8d43f2410.pdf,
498050,HANARO 바이오코리아액티브,downloaded,FnGuide K-Bio Balanced Index,March 2026,equal_weight,quarterly,"5,6,11,12",선물옵션 만기일(D) 이후 2영업일째(D+2)에 정기변경을 수행합니다,3,equal_weighted,,True,True,True,True,True,21,26692,https://file.fnguide.com/fnindex/files/FnGuide_K-Bio_Balanced_Index_Methodology_Book_(20260306)_v1.0.pdf,etfs\raw\methodologies\498050_e6ad30e3a9d6.pdf,
476260,HANARO 반도체핵심공정주도주,downloaded,FnGuide Semiconductor Core Process Tech Leaders Index,October 2023,keyword_theme,quarterly,"3,6,9,12",2영업일째(D+2)에 정기변경을 수행합니다,3,custom_weighted,60%,True,True,True,True,True,19,26177,https://file.fnguide.com/fnindex/files/FnGuide_Semiconductor_Core_Process_Tech_Leaders_Index_Methodology_Book_(20231031)_v1.1.pdf,etfs\raw\methodologies\476260_ee8565063925.pdf,
0111J0,HANARO 증권고배당TOP3플러스,downloaded,FnGuide High Dividend Securities TOP3 Plus Index,February 2026,dividend,semiannual,"6,12",선물옵션 만기일(D) 이후 2영업일 째(D+2)에 정기변경을 수행합니다,3,market_cap_weighted,20%,True,True,True,False,True,10,12550,https://file.fnguide.com/fnindex/files/FnGuide_High_Dividend_Securities_TOP3_Plus_Index_Methodology_Book_(20260204)_v1.1.pdf,etfs\raw\methodologies\0111J0_94bcf5e1b9ca.pdf,
0005G0,IBK K-AI반도체코어테크,downloaded,FnGuide K-AI Semiconductor Core Technology Index,November 2024,keyword_theme,semiannual,"6,12",선물옵션 만기일(D) 이후 2영업일째(D+2)에 정기변경을 수행합니다,3,float_market_cap_weighted,20%,True,True,True,True,True,20,26375,https://file.fnguide.com/fnindex/files/FnGuide_K-AI_Semiconductor_Core_Technology_Index_Methodology_Book_(20241128)_v1.2.pdf,etfs\raw\methodologies\0005G0_45c63d415bf3.pdf,
488200,KIWOOM K-2차전지북미공급망,downloaded,FnGuide Secondary Battery Industry Index,April 2023,keyword_theme,quarterly,"3,6,9,12",선물옵션 만기일 익주 첫 번째 영업일부터 세 번째 영업일까지 정기 변경을 수행합니다,25,score_weighted,20%,True,True,True,True,False,13,15188,https://file.fnguide.com/fnindex/files/FnGuide_Secondary_Battery_Industry_Index_Methodology_Book_삼성_(20230425)_v2.1.pdf,etfs\raw\methodologies\488200_8ae0b61a17ae.pdf,
488210,KIWOOM K-반도체북미공급망,downloaded,FnGuide AI Semiconductor TOP3 Plus Price Return Index,September 2023,keyword_theme,quarterly,"3,6,9,12",선물옵션 만기일(D) 이후 2영업일째(D+2)에 정기 개편을 수행합니다,3,equal_weighted,,True,True,True,False,True,17,23213,https://file.fnguide.com/fnindex/files/FnGuide_AI_Semiconductor_TOP3_Plus_Price_Return_Index_Methodology_Book_(20230920)_v1.5.pdf,etfs\raw\methodologies\488210_466c302826ee.pdf,
483020,KIWOOM 의료AI,downloaded,FnGuide AI medical technology Index,March 2024,keyword_theme,quarterly,"5,6,11,12",2영업일째(D+2)와 3영업일째(D+3)에 정기변경을 수행합니다,3,float_market_cap_weighted,20%,True,True,True,True,True,18,24724,https://file.fnguide.com/fnindex/files/FnGuide_AI_medical_technology_Index_Methodology_Book_(20240320)_v1.1.pdf,etfs\raw\methodologies\483020_99a98d15edd1.pdf,
363580,KODEX 200IT TR,downloaded,FnGuide-RAFI Korea Index Series,July 2019,dividend,annual,6,"종목 선정일 및 개편 일정 종목 및 편입비중의 정기변경은 매년 6월 KOSPI200 주가지수 선물, 옵션 동시만기일의 다음주 첫 영업일에 실시한다. 수시 변경 및 지수관리의 기본 룰은 MKF지수의 방법을 따른다...",50,fundamental_float_adjusted,25%,True,True,False,False,False,14,15681,https://file.fnguide.com/fnindex/files/FnGuide-RAFI_Korea_Index_Series_Methodology_Book_한투_(20190701)_v2.4.pdf,etfs\raw\methodologies\363580_71da2faa0706.pdf,
305720,KODEX 2차전지산업,downloaded,FnGuide Secondary Battery Industry Index,April 2023,keyword_theme,quarterly,"3,6,9,12",선물옵션 만기일 익주 첫 번째 영업일부터 세 번째 영업일까지 정기 변경을 수행합니다,25,score_weighted,20%,True,True,True,True,False,13,15188,https://file.fnguide.com/fnindex/files/FnGuide_Secondary_Battery_Industry_Index_Methodology_Book_삼성_(20230425)_v2.1.pdf,etfs\raw\methodologies\305720_8ae0b61a17ae.pdf,
461950,KODEX 2차전지핵심소재10,downloaded,FnGuide Secondary Battery Core Materials 10 Index,May 2023,keyword_theme,quarterly,"1,4,7,10",3 영업일 전(D)을 기준으로 합니다,10,score_weighted,20%,True,True,True,True,False,16,20029,https://file.fnguide.com/fnindex/files/FnGuide_Secondary_Battery_Core_Materials_10_Index_Methodology_Book_삼성_(20230518)_v1.5.pdf,etfs\raw\methodologies\461950_f13d50e5b8d0.pdf,
395160,KODEX AI반도체TOP2플러스,downloaded,FnGuide AI Semiconductor TOP2 Plus Index,January 2026,keyword_theme,quarterly,"1,4,7,10",2영업일째(D+2)에 정기변경을 수행합니다,2,float_market_cap_weighted,15%,True,True,True,True,True,20,26811,https://file.fnguide.com/fnindex/files/FnGuide AI Semiconductor TOP2 Plus Index_Methodology_Book_(20260102)_v1.2.pdf,etfs\raw\methodologies\395160_57c7d80a085d.pdf,
471990,KODEX AI반도체핵심장비,downloaded,FnGuide AI Semiconductor TOP3 Plus Price Return Index,September 2023,keyword_theme,quarterly,"3,6,9,12",선물옵션 만기일(D) 이후 2영업일째(D+2)에 정기 개편을 수행합니다,3,equal_weighted,,True,True,True,False,True,17,23213,https://file.fnguide.com/fnindex/files/FnGuide_AI_Semiconductor_TOP3_Plus_Price_Return_Index_Methodology_Book_(20230920)_v1.5.pdf,etfs\raw\methodologies\471990_466c302826ee.pdf,
487240,KODEX AI전력핵심설비,downloaded,FnGuide AI Semiconductor TOP3 Plus Price Return Index,September 2023,keyword_theme,quarterly,"3,6,9,12",선물옵션 만기일(D) 이후 2영업일째(D+2)에 정기 개편을 수행합니다,3,equal_weighted,,True,True,True,False,True,17,23213,https://file.fnguide.com/fnindex/files/FnGuide_AI_Semiconductor_TOP3_Plus_Price_Return_Index_Methodology_Book_(20230920)_v1.5.pdf,etfs\raw\methodologies\487240_466c302826ee.pdf,
266370,KODEX IT,downloaded,FnGuide IT PLUS Index,July 2019,sector_theme,semiannual,"6,12",선물옵션 만기일 익주 첫 영업일에 정기변경을 수행합니다,,float_market_cap_weighted,10%,True,True,True,False,True,10,11300,https://file.fnguide.com/fnindex/files/FnGuide_IT PLUS_Index_Methodology_Book_KB_(20190701)_v1.3.pdf,etfs\raw\methodologies\266370_bea5dc8cb6b5.pdf,
117700,KODEX 건설,downloaded,Maekyung FnGuide Index Series,August 2021,dividend,annual,6,"종목 선정 기준일로부터 직전 1년 동안의 일평균 시가총액을 사용합니다. 2Pure Style 지수는 시가총액과 스타일 스코어의 가중 방식을 혼합하여 편입비중을 산정하며, Wealth 지수는 내재가치 가중방식 으...",1,equal_weighted,,True,True,True,False,False,48,60781,https://file.fnguide.com/fnindex/files/Maekyung_FnGuide_Index_Series_(20210729)_v2.9.2.pdf,etfs\raw\methodologies\117700_165a330f5577.pdf,
300950,KODEX 게임산업,downloaded,FnGuide Game Industry Index,July 2019,sector_theme,quarterly,"5,6,11,12",선물옵션 만기일 익주 첫 번째 영업일에 정기 변경을 수행합니다,,float_market_cap_weighted,25%,True,False,False,False,True,15,19882,https://file.fnguide.com/fnindex/files/FnGuide_Game_Sector_Index_Methodology_Book_삼성_(20190701)_v1.6.pdf,etfs\raw\methodologies\300950_1e987e725fc3.pdf,
266390,KODEX 경기소비재,downloaded,Maekyung FnGuide Index Series,August 2021,dividend,annual,6,"종목 선정 기준일로부터 직전 1년 동안의 일평균 시가총액을 사용합니다. 2Pure Style 지수는 시가총액과 스타일 스코어의 가중 방식을 혼합하여 편입비중을 산정하며, Wealth 지수는 내재가치 가중방식 으...",1,equal_weighted,,True,True,True,False,False,48,60781,https://file.fnguide.com/fnindex/files/Maekyung_FnGuide_Index_Series_(20210729)_v2.9.2.pdf,etfs\raw\methodologies\266390_165a330f5577.pdf,
0089D0,KODEX 금융고배당TOP10,downloaded,FnGuide Size/Style Index Series,February 2026,dividend,semiannual,"6,12",선물옵션 만기일(D) 이후 2영업일째(D+2)에 정기변경을 수행합니다,10,float_market_cap_weighted,25%,True,True,True,False,False,16,16910,https://file.fnguide.com/fnindex/files/FnGuide_SizeStyle_Index_Series_Methodology_Book_미래_(20260203)_v2.0.pdf,etfs\raw\methodologies\0089D0_60b5df44287f.pdf,
498410,KODEX 금융고배당TOP10타겟위클리커버드콜,downloaded,FnGuide Size/Style Index Series,February 2026,dividend,semiannual,"6,12",선물옵션 만기일(D) 이후 2영업일째(D+2)에 정기변경을 수행합니다,10,float_market_cap_weighted,25%,True,True,True,False,False,16,16910,https://file.fnguide.com/fnindex/files/FnGuide_SizeStyle_Index_Series_Methodology_Book_미래_(20260203)_v2.0.pdf,etfs\raw\methodologies\498410_60b5df44287f.pdf,
102960,KODEX 기계장비,not_found,,,unknown,unknown,,,,unknown,,False,False,False,False,False,0,0,,,no methodology pdf candidate found
445290,KODEX 로봇액티브,not_found,,,unknown,unknown,,,,unknown,,False,False,False,False,False,0,0,,,no methodology pdf candidate found
244580,KODEX 바이오,downloaded,FnGuide K-Bio Balanced Index,March 2026,equal_weight,quarterly,"5,6,11,12",선물옵션 만기일(D) 이후 2영업일째(D+2)에 정기변경을 수행합니다,3,equal_weighted,,True,True,True,True,True,21,26692,https://file.fnguide.com/fnindex/files/FnGuide_K-Bio_Balanced_Index_Methodology_Book_(20260306)_v1.0.pdf,etfs\raw\methodologies\244580_e6ad30e3a9d6.pdf,
091160,KODEX 반도체,downloaded,FnGuide AI Semiconductor TOP3 Plus Price Return Index,September 2023,keyword_theme,quarterly,"3,6,9,12",선물옵션 만기일(D) 이후 2영업일째(D+2)에 정기 개편을 수행합니다,3,equal_weighted,,True,True,True,False,True,17,23213,https://file.fnguide.com/fnindex/files/FnGuide_AI_Semiconductor_TOP3_Plus_Price_Return_Index_Methodology_Book_(20230920)_v1.5.pdf,etfs\raw\methodologies\091160_466c302826ee.pdf,
0190G0,KODEX 반도체타겟위클리커버드콜,downloaded,FnGuide AI Semiconductor TOP3 Plus Price Return Index,September 2023,keyword_theme,quarterly,"3,6,9,12",선물옵션 만기일(D) 이후 2영업일째(D+2)에 정기 개편을 수행합니다,3,equal_weighted,,True,True,True,False,True,17,23213,https://file.fnguide.com/fnindex/files/FnGuide_AI_Semiconductor_TOP3_Plus_Price_Return_Index_Methodology_Book_(20230920)_v1.5.pdf,etfs\raw\methodologies\0190G0_466c302826ee.pdf,
0080G0,KODEX 방산TOP10,downloaded,FnGuide Size/Style Index Series,February 2026,dividend,semiannual,"6,12",선물옵션 만기일(D) 이후 2영업일째(D+2)에 정기변경을 수행합니다,10,float_market_cap_weighted,25%,True,True,True,False,False,16,16910,https://file.fnguide.com/fnindex/files/FnGuide_SizeStyle_Index_Series_Methodology_Book_미래_(20260203)_v2.0.pdf,etfs\raw\methodologies\0080G0_60b5df44287f.pdf,
140700,KODEX 보험,downloaded,Maekyung FnGuide Index Series,August 2021,dividend,annual,6,"종목 선정 기준일로부터 직전 1년 동안의 일평균 시가총액을 사용합니다. 2Pure Style 지수는 시가총액과 스타일 스코어의 가중 방식을 혼합하여 편입비중을 산정하며, Wealth 지수는 내재가치 가중방식 으...",1,equal_weighted,,True,True,True,False,False,48,60781,https://file.fnguide.com/fnindex/files/Maekyung_FnGuide_Index_Series_(20210729)_v2.9.2.pdf,etfs\raw\methodologies\140700_165a330f5577.pdf,
385510,KODEX 신재생에너지액티브,downloaded,FnGuide K-Renewable Energy Plus Index,January 2021,keyword_theme,semiannual,"6,12",선물옵션 만기일(D) 이후 2영업일째(D+2)에 정기변경을 수행합니다,,custom_weighted,,True,True,True,True,True,16,21233,https://file.fnguide.com/fnindex/files/FnGuide_K-Renewable Energy Plus_Index_Methodology_Book_삼성자산운용_(20210122)_v1.0.pdf,etfs\raw\methodologies\385510_d8afbf8c3e96.pdf,
117460,KODEX 에너지화학,downloaded,Maekyung FnGuide Index Series,August 2021,dividend,annual,6,"종목 선정 기준일로부터 직전 1년 동안의 일평균 시가총액을 사용합니다. 2Pure Style 지수는 시가총액과 스타일 스코어의 가중 방식을 혼합하여 편입비중을 산정하며, Wealth 지수는 내재가치 가중방식 으...",1,equal_weighted,,True,True,True,False,False,48,60781,https://file.fnguide.com/fnindex/files/Maekyung_FnGuide_Index_Series_(20210729)_v2.9.2.pdf,etfs\raw\methodologies\117460_165a330f5577.pdf,
091170,KODEX 은행,downloaded,FnGuide Bank High Dividend Plus TOP 10 Index,August 2023,dividend,semiannual,"6,12",선물옵션 만기일(D)를 기준으로 2영업일 째(D+2)에 정기 변경을 수행합니다,10,custom_weighted,,True,True,False,False,True,15,19993,https://file.fnguide.com/fnindex/files/FnGuide_Bank_High_Dividend_Plus_TOP_10_Index_Methodology_Book_(20230825)_v1.2.pdf,etfs\raw\methodologies\091170_8e6e80515440.pdf,
091180,KODEX 자동차,downloaded,FnGuide Sector Coverage Index Series,July 2019,sector_theme,semiannual,"6,12",종목 선정일 및 개편 일정 화학 Index 화학 지수는 매년 6월과 12월 KOSPI200 주가지수 선물의 최종거래일이 속하는 주의 다음 주 첫 영업일에 다음을 기준으로 정기변경을 실시한다. 유가증권시장 상장종...,,float_market_cap_weighted,25%,True,False,False,False,False,22,26962,https://file.fnguide.com/fnindex/files/FnGuide_Sector_Coverage_Index_Series_Methology_Book_미래_(20190701)_v2.3.pdf,etfs\raw\methodologies\091180_bf7dfdb2d9c3.pdf,
0115D0,KODEX 조선TOP10,downloaded,FnGuide Size/Style Index Series,February 2026,dividend,semiannual,"6,12",선물옵션 만기일(D) 이후 2영업일째(D+2)에 정기변경을 수행합니다,10,float_market_cap_weighted,25%,True,True,True,False,False,16,16910,https://file.fnguide.com/fnindex/files/FnGuide_SizeStyle_Index_Series_Methodology_Book_미래_(20260203)_v2.0.pdf,etfs\raw\methodologies\0115D0_60b5df44287f.pdf,
102970,KODEX 증권,downloaded,FnGuide Sector Coverage Index Series,July 2019,sector_theme,semiannual,"6,12",종목 선정일 및 개편 일정 화학 Index 화학 지수는 매년 6월과 12월 KOSPI200 주가지수 선물의 최종거래일이 속하는 주의 다음 주 첫 영업일에 다음을 기준으로 정기변경을 실시한다. 유가증권시장 상장종...,,float_market_cap_weighted,25%,True,False,False,False,False,22,26962,https://file.fnguide.com/fnindex/files/FnGuide_Sector_Coverage_Index_Series_Methology_Book_미래_(20190701)_v2.3.pdf,etfs\raw\methodologies\102970_bf7dfdb2d9c3.pdf,
117680,KODEX 철강,not_found,,,unknown,unknown,,,,unknown,,False,False,False,False,False,0,0,,,no methodology pdf candidate found
445150,KODEX 친환경조선해운액티브,downloaded,FnGuide Shipbuilding & Shipping Industry Index,July 2022,sector_theme,quarterly,"5,6,11,12",선물옵션 만기일(D) 이후 4영업일(D+4)과 5영업일(D+5)에 정기변경을 수행합니다,15,float_market_cap_weighted,,True,True,True,False,True,14,19495,https://file.fnguide.com/fnindex/files/FnGuide_Shipbuilding_&_Shipping_Sector_Index_Methodology_Book_NHAmundi_(20220727)_v1.2.pdf,etfs\raw\methodologies\445150_15a11657b61c.pdf,
0115E0,KODEX 코리아소버린AI,downloaded,FnGuide Korea AI Tech Core Industry Index,December 2025,keyword_theme,semiannual,"6,12",선물옵션 만기일(D) 이후 2영업일째(D+2)에 정기변경을 수행합니다,3,float_market_cap_weighted,20%,True,True,True,True,True,20,25500,https://file.fnguide.com/fnindex/files/FnGuide_Korea AI Tech Core Industry_Index_Methodology_Book_(20251201)_v1.0.pdf,etfs\raw\methodologies\0115E0_a0fd547b69bf.pdf,
266410,KODEX 필수소비재,downloaded,Maekyung FnGuide Index Series,August 2021,dividend,annual,6,"종목 선정 기준일로부터 직전 1년 동안의 일평균 시가총액을 사용합니다. 2Pure Style 지수는 시가총액과 스타일 스코어의 가중 방식을 혼합하여 편입비중을 산정하며, Wealth 지수는 내재가치 가중방식 으...",1,equal_weighted,,True,True,True,False,False,48,60781,https://file.fnguide.com/fnindex/files/Maekyung_FnGuide_Index_Series_(20210729)_v2.9.2.pdf,etfs\raw\methodologies\266410_165a330f5577.pdf,
298770,KODEX 한국대만IT프리미어,downloaded,FnGuide IT PLUS Index,July 2019,sector_theme,semiannual,"6,12",선물옵션 만기일 익주 첫 영업일에 정기변경을 수행합니다,,float_market_cap_weighted,10%,True,True,True,False,True,10,11300,https://file.fnguide.com/fnindex/files/FnGuide_IT PLUS_Index_Methodology_Book_KB_(20190701)_v1.3.pdf,etfs\raw\methodologies\298770_bea5dc8cb6b5.pdf,
450190,KODEX 한중반도체(합성),downloaded,FnGuide AI Semiconductor TOP3 Plus Price Return Index,September 2023,keyword_theme,quarterly,"3,6,9,12",선물옵션 만기일(D) 이후 2영업일째(D+2)에 정기 개편을 수행합니다,3,equal_weighted,,True,True,True,False,True,17,23213,https://file.fnguide.com/fnindex/files/FnGuide_AI_Semiconductor_TOP3_Plus_Price_Return_Index_Methodology_Book_(20230920)_v1.5.pdf,etfs\raw\methodologies\450190_466c302826ee.pdf,
266420,KODEX 헬스케어,downloaded,FnGuide Healthcare Index,July 2019,sector_theme,semiannual,"6,12",.............. 6 3.2 기준시가총액(𝑩𝒕) 산출 방법 ..................................................................................,,float_market_cap_weighted,,True,True,True,False,True,15,19836,https://file.fnguide.com/fnindex/files/FnGuide_HealthCare_Index_Methodology_Book_KB_(20190701)_v2.3.pdf,etfs\raw\methodologies\266420_9855e57bcb28.pdf,
487130,KoAct AI인프라액티브,downloaded,FnGuide AI Semiconductor & Infrastructure Index,April 2024,keyword_theme,quarterly,"3,6,9,12",선물옵션 만기일(D) 이후 2영업일째(D+2)에 정기변경을 수행합니다,4,equal_weighted,,True,True,True,True,True,20,25311,https://file.fnguide.com/fnindex/files/FnGuide_AI_Semiconductor & Infrastructure_Index_Methodology_Book_(20240418)_v2.0.pdf,etfs\raw\methodologies\487130_374de20750a1.pdf,
462900,KoAct 바이오헬스케어액티브,downloaded,FnGuide Healthcare Index,July 2019,sector_theme,semiannual,"6,12",.............. 6 3.2 기준시가총액(𝑩𝒕) 산출 방법 ..................................................................................,,float_market_cap_weighted,,True,True,True,False,True,15,19836,https://file.fnguide.com/fnindex/files/FnGuide_HealthCare_Index_Methodology_Book_KB_(20190701)_v2.3.pdf,etfs\raw\methodologies\462900_9855e57bcb28.pdf,
482030,KoAct 반도체&2차전지핵심소재액티브,downloaded,FnGuide Secondary Battery Core Materials 10 Index,May 2023,keyword_theme,quarterly,"1,4,7,10",3 영업일 전(D)을 기준으로 합니다,10,score_weighted,20%,True,True,True,True,False,16,20029,https://file.fnguide.com/fnindex/files/FnGuide_Secondary_Battery_Core_Materials_10_Index_Methodology_Book_삼성_(20230518)_v1.5.pdf,etfs\raw\methodologies\482030_f13d50e5b8d0.pdf,
