etf_code,etf_name,holdings_file,holdings_latest_as_of,holdings_row_count,methodology_pdf_status,methodology_structured_status,index_code,index_name,rebalance_frequency,rebalance_months,rebalance_timing,rebalance_date_status,weighting_scheme,weight_cap,readiness,next_action,missing_data,review_flags
0104G0,PLUS K방산레버리지,etfs/output/files/holdings_0104G0.parquet,2026-06-16,2040,downloaded,draft_review_required,FI00.WLT.L05,FnGuide Secondary Battery Industry Leverage Index TR,semiannual,"5,11",storage or retrieval system nor should the material be disclosed to third parties without the written authorization o...,requires_calendar,market_cap_weighted,,,,constituent_universe|corporate_actions|free_float_ratio|krx_trading_calendar|listed_shares|market_cap|stock_prices,date_resolution_missing:krx_trading_calendar|selection.total_constituents not extracted with evidence|status=draft_extracted
0104H0,KoAct 미국나스닥채권혼합50액티브,etfs/output/files/holdings_0104H0.parquet,2026-06-16,5541,downloaded,draft_review_required,FI00.MIX.NDX,FnGuide Nasdaq100 Balanced 50 Index,unknown,,개편 일정 FnGuide 나스닥100 채권혼합50 지수는 하위 지수인 NASDAQ100(TR) 지수와 KIS 국채 3- 10년(총수익) 지수의 비중이 5:5이 되도록 구성합니다. 하위 지수의 편입비중은 매일 동...,missing_methodology_rule,unknown,,,,constituent_universe|corporate_actions|krx_trading_calendar|listed_shares|stock_prices,date_resolution_missing:krx_trading_calendar|rebalance_rule_missing_or_ambiguous|selection.total_constituents not extracted with evidence|status=draft_extracted
0105E0,SOL 코리아고배당,etfs/output/files/holdings_0105E0.parquet,2026-06-16,5425,downloaded,draft_review_required,FI00.WLT.KRD,FnGuide KOREA High Dividend,semiannual,"5,11",선물옵션 만기일(D) 이후 2영업일째(D+2)에 정기변경을 수행합니다,requires_calendar,float_market_cap_weighted,5%,,,constituent_universe|corporate_actions|dividend_data|free_float_ratio|futures_options_expiry_calendar|krx_trading_calendar|listed_shares|market_cap|ranking_inputs|stock_prices|trading_value_liquidity,date_resolution_missing:futures_options_expiry_calendar|date_resolution_missing:krx_trading_calendar|selection.total_constituents not extracted with evidence|status=draft_extracted|weight cap exists in rules but residual/fixed bucket scope is unresolved
0111J0,HANARO 증권고배당TOP3플러스,etfs/output/files/holdings_0111J0.parquet,2026-06-16,1705,downloaded,draft_review_required,,FnGuide High Dividend Securities TOP3 Plus Index,semiannual,"6,12",선물옵션 만기일(D) 이후 2영업일 째(D+2)에 정기변경을 수행합니다,requires_calendar,market_cap_weighted,20%,,,constituent_universe|corporate_actions|dividend_data|fics_industry_classification|free_float_ratio|futures_options_expiry_calendar|krx_trading_calendar|listed_shares|market_cap|ranking_inputs|stock_prices|trading_value_liquidity,date_resolution_missing:futures_options_expiry_calendar|date_resolution_missing:krx_trading_calendar|weight_cap_scope_requires_review
0120J0,BNK 카카오그룹포커스,etfs/output/files/holdings_0120J0.parquet,2026-06-16,2018,downloaded,draft_review_required,FI00.WLT.BKA,FnGuide KAKAO Group Focus Index,unknown,"2,3,6,8,9,12",선물옵션 만기일(D) 이후 2영업일째(D+2)에 정기 개,missing_methodology_rule,market_cap_weighted,20%,,,constituent_universe|corporate_actions|fics_industry_classification|free_float_ratio|futures_options_expiry_calendar|krx_trading_calendar|listed_shares|market_cap|ranking_inputs|stock_prices|trading_value_liquidity,date_resolution_missing:futures_options_expiry_calendar|date_resolution_missing:krx_trading_calendar|rebalance_rule_missing_or_ambiguous|rules.selection_count differs from PDF total constituents|status=draft_extracted|weight_cap_scope_requires_review
0138D0,RISE 동학개미,etfs/output/files/holdings_0138D0.parquet,2026-06-16,2142,downloaded,draft_review_required,FI00.WLT.KIC,FnGuide Investor’s choice KR Index,semiannual,"5,11","3 영업일(D+2, D+3, D+4)동안 정기변경을 수행합니다",requires_calendar,equal_weighted,,,,constituent_universe|corporate_actions|free_float_ratio|krx_trading_calendar|listed_shares|market_cap|ranking_inputs|stock_prices|trading_value_liquidity,date_resolution_missing:krx_trading_calendar|status=draft_extracted
0141S0,SOL 조선기자재,etfs/output/files/holdings_0141S0.parquet,2026-06-16,1320,downloaded,draft_review_required,,FnGuide Shipbuilding Equipment Index,quarterly,"2,5,8,11",선물옵션 만기일(D) 이후 2영업일째(D+2)에 정기변경을 수행합니다,requires_calendar,equal_weighted,20%,,,constituent_universe|corporate_actions|fics_industry_classification|free_float_ratio|futures_options_expiry_calendar|keyword_source_documents|krx_trading_calendar|listed_shares|market_cap|ranking_inputs|stock_prices|trading_value_liquidity,date_resolution_missing:futures_options_expiry_calendar|date_resolution_missing:krx_trading_calendar|weight_cap_scope_requires_review
0150K0,KoAct 수소전력ESS인프라액티브,etfs/output/files/holdings_0150K0.parquet,2026-06-16,3939,downloaded,draft_review_required,FI00.WLT.SEH,FnGuide Hydrogen Power ESS Infra Index,semiannual,"6,12",선물옵션 만기일(D) 이후 2영업일째(D+2)에 정기변경을 수행합니다,requires_calendar,equal_weighted,,,,constituent_universe|corporate_actions|fics_industry_classification|free_float_ratio|futures_options_expiry_calendar|keyword_source_documents|krx_trading_calendar|listed_shares|market_cap|ranking_inputs|stock_prices|trading_value_liquidity,date_resolution_missing:futures_options_expiry_calendar|date_resolution_missing:krx_trading_calendar|rules.selection_count differs from PDF total constituents|status=draft_extracted
0152E0,SOL 배당성향탑픽액티브,etfs/output/files/holdings_0152E0.parquet,2026-06-16,2266,downloaded,draft_review_required,FI00.WLT.SHD,FnGuide Dividend Payout Top Picks,unknown,"1,2,4,5,7,8,10,11",2영업일째(D+2)에 정기변경을 수행합니다,missing_methodology_rule,float_market_cap_weighted,8%,,,constituent_universe|corporate_actions|dividend_data|free_float_ratio|krx_trading_calendar|listed_shares|market_cap|ranking_inputs|stock_prices|trading_value_liquidity,date_resolution_missing:krx_trading_calendar|rebalance_rule_missing_or_ambiguous|rules.selection_count differs from PDF total constituents|status=draft_extracted|weight cap exists in rules but residual/fixed bucket scope is unresolved
0153P0,ACE 리츠부동산인프라액티브,etfs/output/files/holdings_0153P0.parquet,2026-06-16,1372,downloaded,draft_review_required,FI00.WLT.MRD,FnGuide REITs Real Estate Infrastructure Index,semiannual,"6,12",선물옵션 만기일(D) 이후 2영업일(D+2) 부터 6영업일(D+6)까지 5영업일간 정기,requires_calendar,market_cap_weighted,17%,,,constituent_universe|corporate_actions|dividend_data|free_float_ratio|futures_options_expiry_calendar|krx_trading_calendar|listed_shares|market_cap|ranking_inputs|stock_prices|trading_value_liquidity,date_resolution_missing:futures_options_expiry_calendar|date_resolution_missing:krx_trading_calendar|selection.total_constituents not extracted with evidence|status=draft_extracted|weight_cap_scope_requires_review
0167A0,SOL AI반도체TOP2플러스,etfs/output/files/holdings_0167A0.parquet,2026-06-16,682,downloaded,draft_review_required,,FnGuide AI Semiconductor TOP2 Plus Index,quarterly,"1,4,7,10",2영업일째(D+2)에 정기변경을 수행합니다,requires_calendar,float_market_cap_weighted,15%,,,constituent_universe|corporate_actions|fics_industry_classification|free_float_ratio|keyword_source_documents|krx_trading_calendar|listed_shares|market_cap|ranking_inputs|stock_prices|trading_value_liquidity,date_resolution_missing:krx_trading_calendar|weight_cap_scope_requires_review
0177R0,TIGER 반도체TOP10커버드콜액티브,etfs/output/files/holdings_0177R0.parquet,2026-06-16,755,downloaded,draft_review_required,,FnGuide Size/Style Index Series,semiannual,"6,12",선물옵션 만기일(D) 이후 2영업일째(D+2)에 정기변경을 수행합니다,requires_calendar,float_market_cap_weighted,25%,,,constituent_universe|corporate_actions|dividend_data|free_float_ratio|futures_options_expiry_calendar|krx_trading_calendar|listed_shares|market_cap|ranking_inputs|stock_prices|trading_value_liquidity,date_resolution_missing:futures_options_expiry_calendar|date_resolution_missing:krx_trading_calendar|weight_cap_scope_requires_review
0178H0,IBK 미국AI TOP10국채혼합50,etfs/output/files/holdings_0178H0.parquet,2026-06-16,448,downloaded,draft_review_required,FGI.US.AIT.1,FnGuide 미국AITOP10 지수,semiannual,"5,11",3영업일 전으로 합니다,requires_calendar,market_cap_weighted,20%,,,constituent_universe|corporate_actions|dividend_data|keyword_source_documents|krx_trading_calendar|listed_shares|market_cap|ranking_inputs|stock_prices|trading_value_liquidity,date_resolution_missing:krx_trading_calendar|rules.selection_count differs from PDF total constituents|status=draft_extracted|weight_cap_scope_requires_review
0180V0,ACE 미국우주테크액티브,etfs/output/files/holdings_0180V0.parquet,2026-06-16,789,not_found,missing_pdf,,,unknown,,,missing_methodology_rule,unknown,,,,constituent_universe|corporate_actions|krx_trading_calendar|listed_shares|methodology_pdf_missing|stock_prices,date_resolution_missing:krx_trading_calendar|methodology_pdf_missing
0183V0,KIWOOM 삼성전자&SK하이닉스채권혼합50,etfs/output/files/holdings_0183V0.parquet,2026-06-16,346,downloaded,draft_review_required,FI00.MIX.SHB,FnGuide Samsung Electronics & SK Hynix Bond Balanced Index,semiannual,"5,11","개편 일정 FnGuide 삼성전자 & SK하이닉스 채권혼합 지수는 삼성전자, SK하이닉스와 FnGuide 국고통안채 지수의 비중을 매일 25:25:50 로 동일하게 조정하는 Constant Mix 방식을 적용합...",requires_calendar,equal_weighted,,,,constituent_universe|corporate_actions|free_float_ratio|krx_trading_calendar|listed_shares|market_cap|ranking_inputs|stock_prices,date_resolution_missing:krx_trading_calendar|selection.total_constituents not extracted with evidence|status=draft_extracted
0184V0,UNICORN K바이오액티브,etfs/output/files/holdings_0184V0.parquet,2026-06-16,432,downloaded,draft_review_required,,FnGuide K-Bio Balanced Index,quarterly,"5,6,11,12",선물옵션 만기일(D) 이후 2영업일째(D+2)에 정기변경을 수행합니다,requires_calendar,equal_weighted,,,,constituent_universe|corporate_actions|fics_industry_classification|free_float_ratio|futures_options_expiry_calendar|keyword_source_documents|krx_trading_calendar|listed_shares|market_cap|ranking_inputs|stock_prices|trading_value_liquidity,date_resolution_missing:futures_options_expiry_calendar|date_resolution_missing:krx_trading_calendar
145850,TREX 펀더멘탈 200,etfs/output/files/holdings_145850.parquet,2026-06-16,70455,downloaded,draft_review_required,FI00.WLT.200,FnGuide-RAFI Korea Index Series,annual,6,"종목 선정일 및 개편 일정 종목 및 편입비중의 정기변경은 매년 6월 KOSPI200 주가지수 선물, 옵션 동시만기일의 다음주 첫 영업일에 실시한다. 수시 변경 및 지수관리의 기본 룰은 MKF지수의 방법을 따른다...",requires_calendar,fundamental_float_adjusted,25%,,,constituent_universe|corporate_actions|dividend_data|free_float_ratio|fundamental_factors|futures_options_expiry_calendar|krx_trading_calendar|listed_shares|market_cap|ranking_inputs|stock_prices,date_resolution_missing:futures_options_expiry_calendar|date_resolution_missing:krx_trading_calendar|selection.total_constituents not extracted with evidence|status=draft_extracted|weight_cap_scope_requires_review
147970,TIGER 모멘텀,etfs/output/files/holdings_147970.parquet,2026-06-16,10953,downloaded,draft_review_required,FI00.WLT.MMT,FnGuide Momentum Index,quarterly,"1,4,7,10","종목 선정일 및 개편 일정 FnGuide Momentum Index는 매년 정기변경은 1월, 4월, 7월, 10월(연 4회) 옵션 만기일 전주 목요일을 기준으로 종목을 선정하며, 옵션 만기일 다음 주 첫 영업일...",requires_calendar,equal_weighted,,,,constituent_universe|corporate_actions|free_float_ratio|futures_options_expiry_calendar|krx_trading_calendar|listed_shares|market_cap|ranking_inputs|stock_prices|trading_value_liquidity,date_resolution_missing:futures_options_expiry_calendar|date_resolution_missing:krx_trading_calendar|selection.total_constituents not extracted with evidence|status=draft_extracted
150460,TIGER 중국소비테마,etfs/output/files/holdings_150460.parquet,2026-06-16,9408,downloaded,draft_review_required,FI00.WLT.NGF,FnGuide Golf Theme Index,semiannual,"6,12",선물옵션 만기일(D) 이후 4영업일(D+4)과 5영업일(D+5)에 정기변경을 수행합니다,requires_calendar,float_market_cap_weighted,,,,constituent_universe|corporate_actions|free_float_ratio|futures_options_expiry_calendar|keyword_source_documents|krx_trading_calendar|listed_shares|market_cap|ranking_inputs|stock_prices|trading_value_liquidity,date_resolution_missing:futures_options_expiry_calendar|date_resolution_missing:krx_trading_calendar|selection.total_constituents not extracted with evidence|status=draft_extracted
157490,TIGER 소프트웨어,etfs/output/files/holdings_157490.parquet,2026-06-16,7896,downloaded,draft_review_required,,FnGuide Sector Coverage Index Series,semiannual,"6,12",종목 선정일 및 개편 일정 화학 Index 화학 지수는 매년 6월과 12월 KOSPI200 주가지수 선물의 최종거래일이 속하는 주의 다음 주 첫 영업일에 다음을 기준으로 정기변경을 실시한다. 유가증권시장 상장종...,requires_calendar,float_market_cap_weighted,25%,,,constituent_universe|corporate_actions|fics_industry_classification|free_float_ratio|futures_options_expiry_calendar|krx_trading_calendar|listed_shares|market_cap|stock_prices,date_resolution_missing:futures_options_expiry_calendar|date_resolution_missing:krx_trading_calendar|weight_cap_scope_requires_review
157500,TIGER 증권,etfs/output/files/holdings_157500.parquet,2026-06-16,4120,downloaded,draft_review_required,,FnGuide Sector Coverage Index Series,semiannual,"6,12",종목 선정일 및 개편 일정 화학 Index 화학 지수는 매년 6월과 12월 KOSPI200 주가지수 선물의 최종거래일이 속하는 주의 다음 주 첫 영업일에 다음을 기준으로 정기변경을 실시한다. 유가증권시장 상장종...,requires_calendar,float_market_cap_weighted,25%,,,constituent_universe|corporate_actions|fics_industry_classification|free_float_ratio|futures_options_expiry_calendar|krx_trading_calendar|listed_shares|market_cap|stock_prices,date_resolution_missing:futures_options_expiry_calendar|date_resolution_missing:krx_trading_calendar|weight_cap_scope_requires_review
161510,PLUS 고배당주,etfs/output/files/holdings_161510.parquet,2026-06-16,10916,downloaded,draft_review_required,FI00.WLT.HDV,FnGuide High Dividend Stocks Index,semiannual,"6,12",5영업일째 되는,requires_calendar,unknown,,,,constituent_universe|corporate_actions|dividend_data|free_float_ratio|krx_trading_calendar|listed_shares|market_cap|ranking_inputs|stock_prices|trading_value_liquidity,date_resolution_missing:krx_trading_calendar|selection.total_constituents not extracted with evidence|status=draft_extracted
174350,TIGER 로우볼,etfs/output/files/holdings_174350.parquet,2026-06-16,14504,search_failed,missing_pdf,,,unknown,,,missing_methodology_rule,unknown,,,,constituent_universe|corporate_actions|krx_trading_calendar|listed_shares|methodology_pdf_missing|stock_prices,date_resolution_missing:krx_trading_calendar|methodology_pdf_missing
226380,ACE Fn성장소비주도주,etfs/output/files/holdings_226380.parquet,2026-06-16,18304,downloaded,draft_review_required,,FnGuide Growth and Consumption-Driven Stock Index,semiannual,"6,12","종목 선정일 및 개편 일정 FnGuide 성장소비주도 지수의 구성 종목 선정은 6월과 12월 (연 2회) KOSPI200 옵션 만기일 다음주 목요일(휴장인 경우 직전 영업일)을 기준으로 하며, 옵션만기일 다음주...",requires_calendar,equal_weighted,,,,constituent_universe|corporate_actions|fics_industry_classification|free_float_ratio|futures_options_expiry_calendar|keyword_source_documents|krx_trading_calendar|listed_shares|market_cap|ranking_inputs|stock_prices|trading_value_liquidity,date_resolution_missing:futures_options_expiry_calendar|date_resolution_missing:krx_trading_calendar
227570,TIGER 우량가치,etfs/output/files/holdings_227570.parquet,2026-06-16,18086,search_failed,missing_pdf,,,unknown,,,missing_methodology_rule,unknown,,,,constituent_universe|corporate_actions|krx_trading_calendar|listed_shares|methodology_pdf_missing|stock_prices,date_resolution_missing:krx_trading_calendar|methodology_pdf_missing
234310,RISE V&S셀렉트밸류,etfs/output/files/holdings_234310.parquet,2026-06-16,19705,downloaded,draft_review_required,FI00.WLT.SVL,FnGuide Select Value Index,unknown,"1,3,4,6,7,9,10,12",선물옵션 만기일 익주 첫,missing_methodology_rule,equal_weighted,10%,,,constituent_universe|corporate_actions|free_float_ratio|futures_options_expiry_calendar|krx_trading_calendar|listed_shares|market_cap|ranking_inputs|stock_prices|trading_value_liquidity,date_resolution_missing:futures_options_expiry_calendar|date_resolution_missing:krx_trading_calendar|rebalance_rule_missing_or_ambiguous|selection.total_constituents not extracted with evidence|status=draft_extracted|weight cap exists in rules but residual/fixed bucket scope is unresolved
241390,RISE V&S셀렉트밸류채권혼합,etfs/output/files/holdings_241390.parquet,2026-06-16,21572,downloaded,draft_review_required,FI00.MIX.03,FnGuide Select Value Balanced Index,semiannual,"5,11",e or retrieval system nor should the material be disclosed to third parties without the written authorization of FnGu...,requires_calendar,market_cap_weighted,,,,constituent_universe|corporate_actions|free_float_ratio|krx_trading_calendar|listed_shares|market_cap|stock_prices,date_resolution_missing:krx_trading_calendar|selection.total_constituents not extracted with evidence|status=draft_extracted
244580,KODEX 바이오,etfs/output/files/holdings_244580.parquet,2026-06-16,18040,downloaded,draft_review_required,,FnGuide K-Bio Balanced Index,quarterly,"5,6,11,12",선물옵션 만기일(D) 이후 2영업일째(D+2)에 정기변경을 수행합니다,requires_calendar,equal_weighted,,,,constituent_universe|corporate_actions|fics_industry_classification|free_float_ratio|futures_options_expiry_calendar|keyword_source_documents|krx_trading_calendar|listed_shares|market_cap|ranking_inputs|stock_prices|trading_value_liquidity,date_resolution_missing:futures_options_expiry_calendar|date_resolution_missing:krx_trading_calendar
244620,KODEX 모멘텀Plus,etfs/output/files/holdings_244620.parquet,2026-06-16,21374,downloaded,draft_review_required,FI00.WLT.MMT,FnGuide Momentum Index,quarterly,"1,4,7,10","종목 선정일 및 개편 일정 FnGuide Momentum Index는 매년 정기변경은 1월, 4월, 7월, 10월(연 4회) 옵션 만기일 전주 목요일을 기준으로 종목을 선정하며, 옵션 만기일 다음 주 첫 영업일...",requires_calendar,equal_weighted,,,,constituent_universe|corporate_actions|free_float_ratio|futures_options_expiry_calendar|krx_trading_calendar|listed_shares|market_cap|ranking_inputs|stock_prices|trading_value_liquidity,date_resolution_missing:futures_options_expiry_calendar|date_resolution_missing:krx_trading_calendar|selection.total_constituents not extracted with evidence|status=draft_extracted
244660,KODEX 퀄리티Plus,etfs/output/files/holdings_244660.parquet,2026-06-16,17249,downloaded,draft_review_required,FI00.WLT.QPS,FnGuide Plus Index Series,monthly,"1,2,3,4,5,6,7,8,9,10,11,12","3영업일 전에(D-3) 각 지수별 핵심지표와 보조지표를 계산하며, 계산된",requires_calendar,equal_weighted,,,,constituent_universe|corporate_actions|free_float_ratio|krx_trading_calendar|listed_shares|market_cap|ranking_inputs|stock_prices|trading_value_liquidity,date_resolution_missing:krx_trading_calendar|selection.total_constituents not extracted with evidence|status=draft_extracted
244670,KODEX 밸류Plus,etfs/output/files/holdings_244670.parquet,2026-06-16,17426,downloaded,draft_review_required,FI00.WLT.VPS,FnGuide Plus Index Series,monthly,"1,2,3,4,5,6,7,8,9,10,11,12","3영업일 전에(D-3) 각 지수별 핵심지표와 보조지표를 계산하며, 계산된",requires_calendar,equal_weighted,,,,constituent_universe|corporate_actions|free_float_ratio|krx_trading_calendar|listed_shares|market_cap|ranking_inputs|stock_prices|trading_value_liquidity,date_resolution_missing:krx_trading_calendar|selection.total_constituents not extracted with evidence|status=draft_extracted
251590,PLUS 고배당저변동50,etfs/output/files/holdings_251590.parquet,2026-06-16,18037,downloaded,draft_review_required,FI00.WLT.HDL,FnGuide High Dividend Low Volatility 50 Index,quarterly,"5,6,11,12",선물옵션 만기일(D-4)을 포함하여,requires_calendar,equal_weighted,,,,constituent_universe|corporate_actions|dividend_data|free_float_ratio|futures_options_expiry_calendar|krx_trading_calendar|listed_shares|market_cap|ranking_inputs|stock_prices|trading_value_liquidity,date_resolution_missing:futures_options_expiry_calendar|date_resolution_missing:krx_trading_calendar|selection.total_constituents not extracted with evidence|status=draft_extracted
251600,PLUS 고배당주채권혼합,etfs/output/files/holdings_251600.parquet,2026-06-16,14547,downloaded,draft_review_required,FI00.MIX.04,FnGuide High Dividend Balanced Index,semiannual,"6,12",5영업일째 되는 날(T+4)에,requires_calendar,market_cap_weighted,,,,constituent_universe|corporate_actions|dividend_data|free_float_ratio|krx_trading_calendar|listed_shares|market_cap|ranking_inputs|stock_prices|trading_value_liquidity,date_resolution_missing:krx_trading_calendar|selection.total_constituents not extracted with evidence|status=draft_extracted
253280,RISE 헬스케어,etfs/output/files/holdings_253280.parquet,2026-06-16,14900,downloaded,draft_review_required,,FnGuide Healthcare Index,semiannual,"6,12",.............. 6 3.2 기준시가총액(𝑩𝒕) 산출 방법 ..................................................................................,requires_calendar,float_market_cap_weighted,,,,constituent_universe|corporate_actions|fics_industry_classification|free_float_ratio|krx_trading_calendar|listed_shares|market_cap|stock_prices|trading_value_liquidity,date_resolution_missing:krx_trading_calendar
253290,RISE 헬스케어채권혼합,etfs/output/files/holdings_253290.parquet,2026-06-16,17012,downloaded,draft_review_required,FI00.MIX.05,FnGuide Healthcare Balanced Index,semiannual,"5,11",age or retrieval system nor should the material be disclosed to third parties without the written authorization of Fn...,requires_calendar,market_cap_weighted,,,,constituent_universe|corporate_actions|free_float_ratio|krx_trading_calendar|listed_shares|market_cap|stock_prices,date_resolution_missing:krx_trading_calendar|selection.total_constituents not extracted with evidence|status=draft_extracted
266160,RISE 고배당,etfs/output/files/holdings_266160.parquet,2026-06-16,28289,downloaded,draft_review_required,FI00.WLT.KDQ,FnGuide KQ High Dividend Focus Index,semiannual,"4,5",선물옵션 만기일 익주 두번째 영업일부터 세번째 영업일까지,requires_calendar,float_market_cap_weighted,8%,,,constituent_universe|corporate_actions|dividend_data|free_float_ratio|futures_options_expiry_calendar|krx_trading_calendar|listed_shares|market_cap|ranking_inputs|stock_prices|trading_value_liquidity,date_resolution_missing:futures_options_expiry_calendar|date_resolution_missing:krx_trading_calendar|selection.total_constituents not extracted with evidence|status=draft_extracted|weight cap exists in rules but residual/fixed bucket scope is unresolved
